feature,importance_mean,importance_std
"cat__lat_long_35.151491, -117.927597",0.0,0.0
"cat__lat_long_35.490705, -119.286833",0.0,0.0
"cat__lat_long_35.391733, -118.984109",0.0,0.0
"cat__lat_long_35.392599, -119.245341",0.0,0.0
"cat__lat_long_36.600185, -119.175655",0.0,0.0
"cat__lat_long_35.449881, -118.841442",0.0,0.0
"cat__lat_long_35.451402, -119.488413",0.0,0.0
"cat__lat_long_35.453912, -120.69461",0.0,0.0
"cat__lat_long_35.478736, -115.516984",0.0,0.0
"cat__lat_long_35.480896, -120.469476",0.0,0.0
"cat__lat_long_35.511833, -120.918713",0.0,0.0
"cat__lat_long_35.16207, -119.194488",0.0,0.0
"cat__lat_long_35.523991, -118.400432",0.0,0.0
"cat__lat_long_35.536115, -120.739231",0.0,0.0
"cat__lat_long_35.55647, -118.244914",0.0,0.0
"cat__lat_long_35.559617, -118.925185",0.0,0.0
"cat__lat_long_35.591387, -121.032256",0.0,0.0
"cat__lat_long_35.603913, -117.67828",0.0,0.0
"cat__lat_long_35.607875, -118.466318",0.0,0.0
"cat__lat_long_35.634222, -120.728341",0.0,0.0
"cat__lat_long_35.383937, -119.020428",0.0,0.0
"cat__lat_long_35.369553, -120.763864",0.0,0.0
"cat__lat_long_35.363339, -117.637641",0.0,0.0
"cat__lat_long_35.358953, -118.527064",0.0,0.0
"cat__lat_long_35.165668, -120.655842",0.0,0.0
"cat__lat_long_35.176236, -120.483243",0.0,0.0
"cat__lat_long_35.184837, -119.402525",0.0,0.0
"cat__lat_long_35.186644, -120.728305",0.0,0.0
"cat__lat_long_35.214982, -118.59049",0.0,0.0
"cat__lat_long_35.215731, -119.57013",0.0,0.0
"cat__lat_long_35.233745, -120.626442",0.0,0.0
"cat__lat_long_35.236549, -120.727344",0.0,0.0
"cat__lat_long_35.245035, -118.905553",0.0,0.0
"cat__lat_long_35.279984, -120.824288",0.0,0.0
"cat__lat_long_35.280113, -118.962329",0.0,0.0
"cat__lat_long_35.28952, -116.092214",0.0,0.0
"cat__lat_long_35.303926, -120.256567",0.0,0.0
"cat__lat_long_35.316263, -119.402559",0.0,0.0
"cat__lat_long_35.339796, -119.023552",0.0,0.0
"cat__lat_long_35.342891, -119.064803",0.0,0.0
"cat__lat_long_35.349241, -116.770281",0.0,0.0
"cat__lat_long_36.596271, -121.442274",0.0,0.0
"cat__lat_long_36.696759, -119.024051",0.0,0.0
"cat__lat_long_36.600193, -120.153393",0.0,0.0
"cat__lat_long_37.316146, -121.936285",0.0,0.0
"cat__lat_long_37.28682, -121.723877",0.0,0.0
"cat__lat_long_37.287758, -119.548156",0.0,0.0
"cat__lat_long_37.290606, -119.216328",0.0,0.0
"cat__lat_long_37.294926, -121.894763",0.0,0.0
"cat__lat_long_37.304681, -121.809955",0.0,0.0
"cat__lat_long_37.305622, -122.000887",0.0,0.0
"cat__lat_long_37.306612, -122.080621",0.0,0.0
"cat__lat_long_37.311088, -121.961786",0.0,0.0
"cat__lat_long_37.316807, -120.855753",0.0,0.0
"cat__lat_long_37.348129, -121.98469",0.0,0.0
"cat__lat_long_37.321233, -120.656354",0.0,0.0
"cat__lat_long_37.327069, -121.916819",0.0,0.0
"cat__lat_long_37.329725, -120.306399",0.0,0.0
"cat__lat_long_37.331762, -122.341444",0.0,0.0
"cat__lat_long_37.333851, -121.891147",0.0,0.0
"cat__lat_long_37.339533, -121.777179",0.0,0.0
"cat__lat_long_37.343827, -121.883119",0.0,0.0
"cat__lat_long_37.343846, -121.039391",0.0,0.0
"cat__lat_long_37.285677, -122.224165",0.0,0.0
"cat__lat_long_37.284265, -121.827673",0.0,0.0
"cat__lat_long_37.279689, -121.954567",0.0,0.0
"cat__lat_long_37.277592, -121.986477",0.0,0.0
"cat__lat_long_37.222842, -121.988727",0.0,0.0
"cat__lat_long_37.223, -119.001021",0.0,0.0
"cat__lat_long_37.22565, -122.297533",0.0,0.0
"cat__lat_long_37.233034, -121.947427",0.0,0.0
"cat__lat_long_37.233226, -121.78809",0.0,0.0
"cat__lat_long_37.238758, -121.828375",0.0,0.0
"cat__lat_long_37.244307, -119.470256",0.0,0.0
"cat__lat_long_37.245505, -118.062943",0.0,0.0
"cat__lat_long_37.246064, -121.749494",0.0,0.0
"cat__lat_long_37.249377, -120.249581",0.0,0.0
"cat__lat_long_37.252057, -119.95783",0.0,0.0
"cat__lat_long_37.255479, -121.889838",0.0,0.0
"cat__lat_long_37.255637, -120.493537",0.0,0.0
"cat__lat_long_37.257063, -121.923037",0.0,0.0
"cat__lat_long_37.257772, -122.051824",0.0,0.0
"cat__lat_long_37.266388, -122.26308",0.0,0.0
"cat__lat_long_37.270938, -121.851046",0.0,0.0
"cat__lat_long_37.34667, -121.910019",0.0,0.0
"cat__lat_long_37.349546, -122.134356",0.0,0.0
"cat__lat_long_37.212191, -119.749323",0.0,0.0
"cat__lat_long_37.435664, -121.049056",0.0,0.0
"cat__lat_long_37.419725, -122.062947",0.0,0.0
"cat__lat_long_37.420273, -120.66527",0.0,0.0
"cat__lat_long_37.421299, -120.599587",0.0,0.0
"cat__lat_long_37.421633, -122.009613",0.0,0.0
"cat__lat_long_37.422961, -120.765493",0.0,0.0
"cat__lat_long_37.424342, -122.165641",0.0,0.0
"cat__lat_long_37.424655, -121.74841",0.0,0.0
"cat__lat_long_37.42765, -121.945416",0.0,0.0
"cat__lat_long_37.441931, -121.878502",0.0,0.0
"cat__lat_long_37.350284, -121.852855",0.0,0.0
"cat__lat_long_37.444314, -122.149996",0.0,0.0
"cat__lat_long_37.449537, -121.994813",0.0,0.0
"cat__lat_long_37.449551, -122.183762",0.0,0.0
"cat__lat_long_37.454924, -122.203168",0.0,0.0
"cat__lat_long_37.45567, -122.407992",0.0,0.0
"cat__lat_long_37.45809, -122.115398",0.0,0.0
"cat__lat_long_37.458367, -119.345011",0.0,0.0
"cat__lat_long_37.461251, -122.235414",0.0,0.0
"cat__lat_long_37.416159, -122.131337",0.0,0.0
"cat__lat_long_37.410567, -122.297152",0.0,0.0
"cat__lat_long_37.410236, -121.320337",0.0,0.0
"cat__lat_long_37.40122, -120.514191",0.0,0.0
"cat__lat_long_37.3511, -122.037311",0.0,0.0
"cat__lat_long_37.351214, -121.952417",0.0,0.0
"cat__lat_long_37.352911, -122.093002",0.0,0.0
